cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length,dataset,shear_stress,supplementation,replicate,section
1,41.347438752783965,204.00890868596883,19.2421875,202.2578125,-1.7510961859688337,-22.105251252783965,265.47069873771164,85.47069873771164,22.174500463397628,polarityjam_test,18dyn,EGM2,2,nan
2,43.6140350877193,68.45614035087719,36.77777777777778,73.44444444444444,4.988304093567251,-6.836257309941523,306.1176120528019,53.88238794719808,8.46271775126813,polarityjam_test,18dyn,EGM2,2,nan
3,41.347438752783965,204.00890868596883,41.23809523809524,205.23809523809524,1.2291865521264072,-0.1093435146887245,354.9165773188606,5.083422681139382,1.2340403494752057,polarityjam_test,18dyn,EGM2,2,nan
4,42.953125,251.4765625,61.0,251.0,-0.4765625,18.046875,91.51265389421101,88.48734610578899,18.053166178873756,polarityjam_test,18dyn,EGM2,2,nan
5,43.6140350877193,68.45614035087719,53.168734491315135,47.6848635235732,-20.771276827303993,9.554699403595833,155.29776997603943,24.702230023960567,22.863469153423992,polarityjam_test,18dyn,EGM2,2,nan
6,71.38808510638297,140.96170212765958,72.83229813664596,143.74534161490683,2.7836394872472567,1.4442130302629863,27.42127143158873,27.42127143158873,3.1359847052789602,polarityjam_test,18dyn,EGM2,2,nan
7,42.953125,251.4765625,71.64335664335664,251.71328671328672,0.23672421328672044,28.69023164335664,89.52726103029666,89.52726103029666,28.691208237064867,polarityjam_test,18dyn,EGM2,2,nan
8,71.38808510638297,140.96170212765958,91.04234527687296,140.76221498371336,-0.19948714394621447,19.65426017048999,90.58152170809943,89.41847829190057,19.655272523419995,polarityjam_test,18dyn,EGM2,2,nan
9,153.4717999019127,188.99362432564982,149.27551020408163,211.1530612244898,22.15943689883997,-4.196289697831077,349.276982600167,10.723017399832997,22.553258986270556,polarityjam_test,18dyn,EGM2,2,nan
10,180.93434343434345,105.17297979797979,180.35294117647058,108.26470588235294,3.0917260843731498,-0.5814022578728668,349.3498486235428,10.650151376457188,3.1459177939439225,polarityjam_test,18dyn,EGM2,2,nan
11,180.93434343434345,105.17297979797979,190.0054644808743,85.35519125683061,-19.817788541149184,9.071121046530862,155.40518906855132,24.594810931448677,21.79518248839681,polarityjam_test,18dyn,EGM2,2,nan
12,,,,,,,,,,polarityjam_test,18dyn,EGM2,2,nan
13,197.5783540022548,34.0,194.88317757009347,15.242990654205608,-18.757009345794394,-2.6951764321613325,188.17680711525378,8.17680711525378,18.949653706564035,polarityjam_test,18dyn,EGM2,2,nan
14,225.80823529411765,169.49529411764706,223.4090909090909,167.45454545454547,-2.0407486631015956,-2.3991443850267444,229.61500639365048,49.615006393650475,3.149690284163874,polarityjam_test,18dyn,EGM2,2,nan
15,225.80823529411765,169.49529411764706,233.84586466165413,146.54511278195488,-22.95018133569218,8.037629367536482,160.69868759570565,19.30131240429435,24.31695517927848,polarityjam_test,18dyn,EGM2,2,nan
16,250.13664596273293,13.711180124223603,251.69565217391303,5.782608695652174,-7.928571428571429,1.5590062111801046,168.87576963588324,11.124230364116755,8.080392642963417,polarityjam_test,18dyn,EGM2,2,nan
