image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,1,2,238,56.1890756302521,40.92857142857143,0.509765625,2,2,1,0,0.582974181233675,1.0,0.2721661535689028,0.5263888888888889,0.4203912999799076,16,23.6875,140.0,1.143934406347163,2.7071428571428573,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,2,3,215,53.413953488372094,80.55813953488372,0.509765625,2,2,1,0,0.3245972695774609,1.0,0.212524359486493,0.17709923664122137,0.12289938296315725,15,7.733333333333333,53.0,0.4543042576950853,2.188679245283019,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,3,4,95,11.6,128.74736842105264,0.509765625,2,2,1,0,0.5016703956845557,1.0,0.24489667226360942,0.4576271186440678,0.3301560057620989,8,16.875,67.0,1.268675478058415,2.014925373134328,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,4,5,36,9.5,157.0,0.509765625,2,2,1,0,0.5811444509148862,1.0,0.2981716266306366,0.5254237288135594,0.43186624574738713,3,20.666666666666668,19.0,0.9216353751380653,3.263157894736842,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,5,13,102,21.323529411764707,229.12745098039215,0.509765625,2,2,1,0,0.4533556893355002,1.0,0.2610211102579035,0.3512658227848101,0.2634651040355255,9,12.333333333333334,49.0,0.7345410552159441,2.2653061224489797,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,14,15,88,22.5,412.95454545454544,0.509765625,2,2,1,0,0.5665513918770871,1.0,0.2838927227099862,0.5291970802919708,0.42345665975897895,3,48.333333333333336,47.0,1.1659265051385597,3.0851063829787235,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,6,15,99,25.252525252525253,436.06060606060606,0.509765625,2,2,1,0,0.47567016746087376,1.0,0.30332137326841874,0.42996742671009774,0.33780209812040923,3,44.0,37.0,1.2165525060596438,3.5675675675675675,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,6,7,198,50.0,501.6313131313131,0.509765625,2,2,1,0,0.49203022645892963,1.0,0.237676659953513,0.4370860927152318,0.3121414799468282,12,22.0,120.0,1.2047075571801442,2.2,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,7,16,126,32.0,540.2460317460317,0.509765625,2,2,1,0,0.5630348054659682,1.0,0.28428872884314926,0.5463917525773195,0.43092969929717934,1,212.0,70.0,1.1402103300312634,3.0285714285714285,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,16,17,272,68.5,634.7720588235294,0.509765625,2,2,1,0,0.4337971618598094,1.0,0.26081274929876513,0.3692493946731235,0.26385246224643044,15,20.333333333333332,139.0,1.194685481134189,2.194244604316547,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,8,17,70,18.0,656.7,0.509765625,2,2,1,0,0.4012493835278646,1.0,0.23229559256158644,0.2727272727272727,0.19355581127733026,7,8.571428571428571,24.0,0.5895898352313131,2.5,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,8,9,177,44.75141242937853,771.3389830508474,0.509765625,2,2,1,0,0.6205740491287649,1.0,0.3194013822662366,0.6173752310536045,0.5181416772235462,5,66.8,94.0,1.050951949424901,3.5531914893617023,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,9,10,126,32.0,838.8333333333334,0.509765625,2,2,1,0,0.2850198542159915,1.0,0.1933540598497371,0.12886597938144329,0.08418933278648796,8,6.25,31.0,0.7982906140681373,1.6129032258064515,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,10,11,96,24.5,878.875,0.509765625,2,2,1,0,0.23221112419141476,0.7341772151898734,0.1376421875940543,0.06040268456375839,0.03568091071276867,2,9.0,7.0,1.299867367239363,2.5714285714285716,other
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,13,18,86,29.0,283.22093023255815,0.509765625,2,2,1,0,0.31601366284910587,0.8535262206148282,0.14729797307636294,0.09259259259259259,0.05674100863974282,11,2.272727272727273,19.0,0.4938814826645346,1.3157894736842106,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,11,12,86,34.0,945.6627906976744,0.509765625,2,2,1,0,0.30728015538142117,1.0,0.21627792521588596,0.15925925925925927,0.11343513495412229,6,7.166666666666667,21.0,2.6887744785908154,2.0476190476190474,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,3,5,125,49.248,159.08,0.509765625,2,2,1,0,0.3401040133451084,1.0,0.18770054113030146,0.17054263565891473,0.11099429468578717,15,4.4,43.0,0.6621656609792094,1.5348837209302326,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,14,18,40,41.5,370.25,0.509765625,2,2,1,0,0.4620527152172722,1.0,0.2770404068878846,0.3939393939393939,0.2966737903446764,3,17.333333333333332,19.0,0.8454889030309711,2.736842105263158,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,8,19,120,61.21666666666667,688.7666666666667,0.509765625,2,2,1,0,0.6882449590697854,1.0,0.28626753246207703,0.6827956989247311,0.5841402710532968,4,63.5,67.0,0.9164334822608748,3.791044776119403,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,17,19,333,118.75075075075075,684.6996996996997,0.509765625,2,2,1,0,0.5671125754136686,1.0,0.2898033519740153,0.5093966369930761,0.4142032578347043,13,39.61538461538461,174.0,1.0187814617379622,2.9597701149425286,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,13,20,48,47.333333333333336,264.5,0.509765625,2,2,1,0,0.47905364677516576,1.0,0.24962820652087217,0.41025641025641024,0.3000649139889647,4,16.0,26.0,1.0527092292325908,2.4615384615384617,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,15,21,28,46.42857142857143,425.5,0.509765625,2,2,1,0,0.4270644966847499,0.9222423146473779,0.19200713241352113,0.3333333333333333,0.21777049427365883,4,8.0,17.0,3.4,1.8823529411764706,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,5,20,114,73.0,255.4298245614035,0.509765625,2,2,1,0,0.37003606420040663,1.0,0.17448958466014033,0.1807909604519774,0.11908337675340464,18,3.5555555555555554,40.0,0.7389689339371663,1.6,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,14,21,113,59.584070796460175,400.283185840708,0.509765625,2,2,1,0,0.5903772739215777,1.0,0.3284658670480902,0.5698005698005698,0.4819193933117984,3,66.66666666666667,61.0,1.494936398257409,3.278688524590164,other
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,10,22,50,54.1,859.06,0.509765625,2,2,1,0,0.15941106869376911,0.4918625678119349,0.09423702350119033,0.0,0.0,0,0.0,0.0,0.0,0.0,straight
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,6,23,146,69.88356164383562,468.6506849315069,0.509765625,2,2,1,0,0.5019007434197308,1.0,0.2529706672276463,0.45555555555555555,0.3316134217400041,10,20.5,87.0,1.0280212554997514,2.3563218390804597,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,11,22,139,83.25179856115108,874.9424460431654,0.509765625,2,2,1,0,0.2203914229230685,0.7721518987341772,0.12292554309888308,0.02097902097902098,0.013037595316076329,6,1.5,7.0,7.0,1.2857142857142858,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,6,21,3,50.333333333333336,432.6666666666667,0.509765625,2,2,1,0,0.30844742960475324,0.8137432188065099,0.1828183075003838,0.14285714285714285,0.09807973822440368,2,1.5,3.0,3.0,1.0,fingers
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,18,20,331,132.90030211480362,342.03021148036254,0.509765625,2,2,1,0,0.5479546211078423,1.0,0.27581354053431084,0.5174129353233831,0.401362086493392,15,34.666666666666664,183.0,0.8763206097098916,2.841530054644809,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,21,23,292,123.5,435.486301369863,0.509765625,2,2,1,0,0.5439494648355407,1.0,0.28513364490161763,0.48536036036036034,0.3865524656663897,7,61.57142857142857,157.0,1.0583975704794835,2.745222929936306,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,18,21,327,133.25076452599387,390.5963302752294,0.509765625,2,2,1,0,0.46955815482336577,1.0,0.2546591230746902,0.418932527693857,0.3018707808183505,17,24.470588235294116,176.0,1.057863481035559,2.3636363636363638,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,12,24,140,63.15714285714286,988.5,0.509765625,2,2,1,0,0.532655850716111,1.0,0.24576491317855842,0.5,0.36897757855147767,5,42.6,92.0,1.369326616717905,2.3152173913043477,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,11,24,104,81.5,947.6153846153846,0.509765625,2,2,1,0,0.606796820931842,1.0,0.2734346515687865,0.5802469135802469,0.46546335364900765,6,31.333333333333332,60.0,1.2951986753290365,3.1333333333333333,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,16,25,199,97.42211055276383,596.0502512562814,0.509765625,2,2,1,0,0.3688433901208718,1.0,0.19739197370479966,0.23684210526315788,0.15227051013609974,22,6.545454545454546,71.0,0.7523871797660093,2.028169014084507,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,7,25,116,92.5,544.8793103448276,0.509765625,2,2,1,0,0.31512959614225433,1.0,0.17461470482364536,0.11388888888888889,0.07677315651999196,13,3.1538461538461537,27.0,0.5398920323892038,1.5185185185185186,reticular
EGM2_regular_6dyn-21,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,9,22,266,130.0,841.2593984962406,0.509765625,2,2,1,0,0.30430201147500724,1.0,0.20717873291777733,0.15185185185185185,0.10442479851762551,21,5.857142857142857,67.0,0.5183839692149634,1.835820895522388,reticular
