group,metric,d_blur1,d_blur2,stable_blur1,stable_blur2,avg_abs_d
EndoPiGraph Full,cluster_count_cc,0.5190727470525519,0.6807330130340075,False,False,0.5999028800432797
EndoPiGraph Full,cluster_density,1.2644441279910528,1.5288565294787027,False,False,1.3966503287348777
EndoPiGraph Full,skeleton_len,0.2985274564533787,0.5573731597436613,True,False,0.42795030809851997
EndoPiGraph Full,thickness_proxy,-3.636189273285657,-4.4415769581458004,False,False,4.038883115715729
EndoPiGraph Full,occupancy,-0.1802595379337976,-0.24865639908639584,True,True,0.2144579685100967
EndoPiGraph Skeleton (blur-robust),skeleton_components,0.5190727470525519,0.6807330130340075,False,False,0.5999028800432797
EndoPiGraph Skeleton (blur-robust),skeleton_endpoints,0.41817985634579113,0.6446109217588776,True,False,0.5313953890523344
EndoPiGraph Skeleton (blur-robust),skeleton_branch_points,0.5831094480329855,1.0661593355686165,False,False,0.824634391800801
EndoPiGraph Skeleton (blur-robust),complexity_score,0.5477432458162808,0.7906108283482712,False,False,0.669177037082276
Simple Baseline,mean_intensity,-0.00012938903434301543,-0.0005406125927034488,True,True,0.00033500081352323213
Simple Baseline,max_intensity,0.4626193617241835,0.7674701487274851,True,False,0.6150447552258342
Simple Baseline,occupancy,-0.1802595379337976,-0.24865639908639584,True,True,0.2144579685100967
Junction Mapper Equivalent,mean_intensity,-0.00012938903434301543,-0.0005406125927034488,True,True,0.00033500081352323213
Junction Mapper Equivalent,fraction_occupied,-0.1802595379337976,-0.24865639908639584,True,True,0.2144579685100967
Junction Mapper Equivalent,n_clusters,0.5190727470525519,0.6807330130340075,False,False,0.5999028800432797
Junction Mapper Equivalent,mean_cluster_size,-2.0142349918454245,-4.688683731766111,False,False,3.3514593618057678
