image,condition,epg_mean,epg_median,epg_max,epg_std,epg_occupancy,epg_cluster_count,epg_cluster_count_cc,epg_cluster_density,epg_cluster_area_mean,epg_skeleton_len,epg_skeleton_components,epg_skeleton_endpoints,epg_skeleton_branch_points,epg_complexity_score,epg_thickness_proxy,baseline_mean_intensity,baseline_max_intensity,baseline_occupancy,jm_mean_intensity,jm_fraction_occupied,jm_n_clusters,jm_mean_cluster_size,jm_junction_length
EGM2_regular_static-34.tif,baseline,81.6226577758789,48.0,1933.0,141.113934228348,0.0320281982421875,788,451,53.71605526441162,18.61640798226164,3367,451,552,1436,1169.0,2.4936144936144937,81.6226577758789,1933.0,0.0320281982421875,81.6226577758789,0.0320281982421875,451,18.61640798226164,262144
EGM2_regular_static-34.tif,blur_1px,81.61434065895094,50.113396205499534,1587.3217997805093,121.9025005302902,0.037319183349609375,125,101,10.324031483185118,96.86138613861387,1443,101,236,242,222.0,6.779625779625779,81.61434065895094,1587.3217997805093,0.037319183349609375,81.61434065895094,0.037319183349609375,101,96.86138613861387,262144
EGM2_regular_static-34.tif,blur_2px,81.60983952576994,49.73999046086701,1357.2016627063465,111.50927540657702,0.043956756591796875,63,59,5.120194393821054,195.3050847457627,792,59,130,57,87.5,14.549242424242424,81.60983952576994,1357.2016627063465,0.043956756591796875,81.60983952576994,0.043956756591796875,59,195.3050847457627,262144
EGM2_regular_static-20.tif,baseline,72.55694198608398,45.0,1882.0,135.2201444779478,0.023487091064453125,453,222,36.0565210329706,27.734234234234233,2062,222,341,761,602.5,2.9859359844810864,72.55694198608398,1882.0,0.023487091064453125,72.55694198608398,0.023487091064453125,222,27.734234234234233,262144
EGM2_regular_static-20.tif,blur_1px,72.57361093784824,46.5242107857389,1574.9939171432163,117.24501267818928,0.0279541015625,128,92,12.554585152838428,79.65217391304348,1062,92,190,99,141.5,6.9001883239171375,72.57361093784824,1574.9939171432163,0.0279541015625,72.57361093784824,0.0279541015625,92,79.65217391304348,262144
EGM2_regular_static-20.tif,blur_2px,72.60786236684481,45.619997683173125,1398.42371220311,107.38312720119238,0.0321502685546875,50,46,5.457997152349312,183.2173913043478,755,46,100,31,61.5,11.162913907284768,72.60786236684481,1398.42371220311,0.0321502685546875,72.60786236684481,0.0321502685546875,46,183.2173913043478,262144
EGM2_regular_18-20dyn-52.tif,baseline,57.43461608886719,23.0,2005.0,133.30623176413636,0.025390625,407,165,24.789663461538463,40.339393939393936,2199,165,296,977,653.5,3.026830377444293,57.43461608886719,2005.0,0.025390625,57.43461608886719,0.025390625,165,40.339393939393936,262144
EGM2_regular_18-20dyn-52.tif,blur_1px,57.43419536033619,30.103898606581442,1604.470657992984,117.78324405388389,0.03040313720703125,94,54,6.7754077791718945,147.59259259259258,1096,54,125,124,116.0,7.271897810218978,57.43419536033619,1604.470657992984,0.03040313720703125,57.43419536033619,0.03040313720703125,54,147.59259259259258,262144
EGM2_regular_18-20dyn-52.tif,blur_2px,57.44364660794927,29.56247127681013,1362.3824894736233,107.99079386055814,0.036571502685546875,46,33,3.442161260039637,290.5151515151515,740,33,73,31,48.5,12.955405405405406,57.44364660794927,1362.3824894736233,0.036571502685546875,57.44364660794927,0.036571502685546875,33,290.5151515151515,262144
EGM2_regular_6dyn-79.tif,baseline,54.85309600830078,22.0,1707.0,126.14556935902284,0.028514862060546875,499,143,19.130434782608695,52.27272727272727,2497,143,273,1138,712.0,2.9935923107729274,54.85309600830078,1707.0,0.028514862060546875,54.85309600830078,0.028514862060546875,143,52.27272727272727,262144
EGM2_regular_6dyn-79.tif,blur_1px,54.86114958595,29.824628339681905,1269.1820136396018,110.55706857078837,0.0337982177734375,102,56,6.320541760722348,158.21428571428572,1290,56,133,130,121.0,6.868217054263566,54.86114958595,1269.1820136396018,0.0337982177734375,54.86114958595,0.0337982177734375,56,158.21428571428572,262144
EGM2_regular_6dyn-79.tif,blur_2px,54.874363101242736,29.561475519894874,1070.5693404989245,100.72711544352086,0.038707733154296875,54,43,4.237705725830295,235.97674418604652,919,43,97,41,63.5,11.041349292709468,54.874363101242736,1070.5693404989245,0.038707733154296875,54.874363101242736,0.038707733154296875,43,235.97674418604652,262144
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4.tif,baseline,14.824047088623047,12.0,254.0,9.034657013902999,0.21439361572265625,5235,7084,126.04533646489449,7.933653303218521,28186,7084,9425,6056,10112.0,1.993968636911942,14.824047088623047,254.0,0.21439361572265625,14.824047088623047,0.21439361572265625,7084,7.933653303218521,262144
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4.tif,blur_1px,14.824648620954996,13.62075388652941,181.62639923098962,6.30170955017308,0.2836799621582031,2072,1940,26.087541182007666,38.33247422680412,18745,1940,3758,3966,3923.0,3.967191251000267,14.824648620954996,181.62639923098962,0.2836799621582031,14.824648620954996,0.2836799621582031,1940,38.33247422680412,262144
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4.tif,blur_2px,14.824953389691515,13.997810736901577,88.58344329586664,5.001412219770688,0.2987174987792969,592,501,6.397895462730024,156.3013972055888,10814,501,1184,1441,1221.5,7.241261327908267,14.824953389691515,88.58344329586664,0.2987174987792969,14.824953389691515,0.2987174987792969,501,156.3013972055888,262144
