cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,100.50196540880503,743.6116352201258,82.54905490549055,744.1939693969397,0.5823341768139016,-17.952910503314484,271.8578378300215,88.14216216997852,17.962352536165888
7,101.4551282051282,934.25,114.0,937.7948717948718,3.544871794871824,12.544871794871796,74.22101487863691,74.22101487863691,13.036100812430368
8,,,,,,,,,
9,,,,,,,,,
10,124.68354430379746,22.70886075949367,130.1060606060606,60.58712121212121,37.87826045262754,5.4225163022631335,8.146906228038175,8.146906228038175,38.26442601118429
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,221.33482142857142,122.89285714285714,218.94350282485877,143.71939736346516,20.826540220608024,-2.391318603712648,353.44994101179736,6.550058988202636,20.963377166503157
15,247.15337423312883,93.4478527607362,237.13259668508286,78.67334254143647,-14.774510219299728,-10.02077754804597,214.1469922564649,34.1469922564649,17.85223052975774
16,,,,,,,,,
17,,,,,,,,,
18,312.6474059503319,506.3174329972953,333.80550774526677,521.855421686747,15.537988689451709,21.15810179493485,53.70735675401468,53.70735675401468,26.250606927809393
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,502.84722222222223,898.8796296296297,525.2588235294118,927.5129411764706,28.6333115468409,22.411601307189528,38.050669311794756,38.050669311794756,36.36133115400029
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,605.670731707317,906.9634146341464,583.343661971831,922.2732394366197,15.309824802473372,-22.32706973548602,304.4386997803578,55.56130021964219,27.071918632702864
30,,,,,,,,,
31,708.2294004927456,383.1981932658089,675.2286617492097,403.840885142255,20.642691876446065,-33.000738743535976,302.0268900366201,57.9731099633799,38.925178041018754
32,691.0144381669805,518.0851642603055,684.8947368421053,516.2368421052631,-1.8483221550424105,-6.119701324875223,253.19420506000034,73.19420506000034,6.392733303877159
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,755.6140350877193,890.0701754385965,757.2508143322475,881.9022801302932,-8.167895308303287,1.6367792445281566,168.66848406012204,11.33151593987796,8.330279710953349
37,,,,,,,,,
38,,,,,,,,,
39,834.4592592592593,597.8592592592593,792.6141078838174,565.344398340249,-32.51486091901029,-41.8451513754419,232.15178723597552,52.15178723597552,52.992762470135766
40,,,,,,,,,
41,874.7478991596639,998.8403361344538,870.4716981132076,957.3018867924528,-41.538449342000945,-4.276201046456322,185.87764402069553,5.877644020695527,41.75797731125986
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
