image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,1,2,124,30.5,97.01612903225806,0.474609375,2,2,1,0,0.18130810390697397,1.0,0.23252383739050253,0.10317460317460317,0.08039936627507248,5,7.8,21.0,1.0447890497204886,1.8571428571428572,fingers
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,2,3,139,34.82014388489208,180.3884892086331,0.474609375,2,2,1,0,0.24704358162706522,1.0,0.22051286973118756,0.14420803782505912,0.10119538940310668,9,6.777777777777778,27.0,0.6491434997263658,2.259259259259259,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,4,5,325,42.30153846153846,758.2738461538462,0.474609375,2,2,1,0,0.276239292874066,0.9423728813559322,0.21350012875350047,0.18245967741935484,0.1188388463641334,19,9.526315789473685,95.0,0.5934602951767031,1.9052631578947368,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,4,6,206,56.45631067961165,567.6262135922331,0.474609375,2,2,1,0,0.4601076136669357,1.0,0.28237134790981766,0.44285714285714284,0.32725674827369744,7,39.857142857142854,119.0,1.044301698617717,2.3445378151260505,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,3,6,194,44.28350515463917,333.02061855670104,0.474609375,2,2,1,0,0.22884734500816487,1.0,0.22028665215410978,0.14285714285714285,0.09847964412410606,15,5.733333333333333,46.0,0.4460766634710183,1.8695652173913044,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,2,7,81,60.592592592592595,134.2469135802469,0.474609375,2,2,1,0,0.1680292455965437,0.7740112994350282,0.14575553152565268,0.058823529411764705,0.03452309737454304,3,5.0,10.0,0.6201736729460423,1.5,straight
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,3,8,174,91.08620689655173,242.50574712643677,0.474609375,2,2,1,0,0.7485053739946519,1.0,0.2592453461771937,0.7992633517495396,0.6823089968890137,1,434.0,94.0,0.9908470001860923,4.617021276595745,straight
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,6,8,340,80.86470588235294,369.51176470588234,0.474609375,2,2,1,0,0.5152433410152057,1.0,0.3091039840016805,0.4609450337512054,0.37492440710654923,2,239.0,175.0,1.0042225130106939,2.7314285714285713,straight
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,3,7,117,96.4957264957265,177.76068376068375,0.474609375,2,2,1,0,0.5116807520505517,1.0,0.2767191713329241,0.5179063360881543,0.38244696580597975,5,37.6,65.0,0.9776923610938036,2.8923076923076922,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,1,9,38,71.28947368421052,96.0,0.474609375,2,2,1,0,0.09640390996323202,0.43389830508474575,0.07382512375104136,0.0,0.0,0,0.0,0.0,0.0,0.0,straight
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,7,9,378,167.0,113.15079365079364,0.474609375,2,2,1,0,0.5580984214314589,1.0,0.322102161516774,0.5453752181500873,0.44585046489385827,5,125.0,214.0,1.1428011246669842,2.9205607476635516,reticular
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,7,8,80,143.525,202.5,0.474609375,2,2,1,0,0.8773968171820418,1.0,0.16702711608827114,0.9618320610687023,0.8632466468279639,1,252.0,45.0,1.0714285714285714,5.6,straight
EGM2_regular_18-20dyn-69,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,8,12,360,198.13333333333333,331.50555555555553,0.474609375,2,2,1,0,0.6992599230567186,1.0,0.3365081465782992,0.6891522333637192,0.6222641101308654,4,189.0,197.0,1.0789540974416463,3.8375634517766497,reticular
