image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,5,14,463,82.48380129589633,401.74946004319656,0.482421875,2,2,1,0,0.272655406730146,1.0,0.251692360487128,0.20413990007137758,0.14306496616367448,23,12.434782608695652,144.0,0.6782123932142814,1.9861111111111112,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,6,14,174,79.66666666666667,490.07471264367814,0.482421875,2,2,1,0,0.39883984153933216,1.0,0.26998437991574376,0.35902255639097747,0.25832359491103124,7,27.285714285714285,78.0,0.861365903383803,2.448717948717949,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,9,11,58,59.0,900.0862068965517,0.482421875,2,2,1,0,0.10239228917688854,0.5268817204301075,0.09134552216010805,0.005376344086021506,0.0028326974216672444,1,1.0,1.0,0.0,1.0,straight
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,1,12,50,61.0,61.9,0.482421875,2,2,1,0,0.3148148148148147,1.0,0.2226295789726935,0.21604938271604937,0.1425123396449561,5,7.0,22.0,0.8087360843031884,1.5909090909090908,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,11,13,108,91.37962962962963,681.5370370370371,0.482421875,2,2,1,0,0.22247823860727087,0.8250244379276638,0.21155523245482613,0.15773809523809523,0.10054461667364893,1,53.0,18.0,3.530090432487313,2.9444444444444446,fingers
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,11,15,413,93.35351089588377,790.7506053268766,0.482421875,2,2,1,0,0.10206575697408837,0.8074291300097751,0.11827933205217302,0.027977617905675458,0.01638181146187644,7,5.0,20.0,0.22209886821758987,1.75,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,11,16,26,78.5,899.6923076923077,0.482421875,2,2,1,0,0.3142283045508852,0.8142717497556208,0.25189638472981685,0.3,0.19604648636906702,2,13.5,7.0,0.813733471206735,3.857142857142857,straight
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,9,16,57,79.6140350877193,918.5087719298245,0.482421875,2,2,1,0,0.19578652735712493,0.9022482893450635,0.19427856467410956,0.10382513661202186,0.06547762126820827,6,3.1666666666666665,13.0,0.7660323462854266,1.4615384615384615,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,15,16,269,133.52044609665427,831.453531598513,0.482421875,2,2,1,0,0.2860198344069312,0.9618768328445748,0.2067991211129787,0.20634920634920634,0.12938793583954877,17,9.941176470588236,71.0,0.5006210719607799,2.380281690140845,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,9,17,182,87.45604395604396,977.0,0.482421875,2,2,1,0,0.2467843906692827,0.9726295210166178,0.20586218063224904,0.1618705035971223,0.10184110775895414,15,6.0,51.0,0.5496915322880143,1.7647058823529411,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,16,17,225,139.67555555555555,968.9111111111112,0.482421875,2,2,1,0,0.23904384185754088,0.8817204301075269,0.18731880279604282,0.12041116005873716,0.07459273709096077,20,4.1,59.0,0.4609234339477225,1.3898305084745763,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,13,20,142,126.21830985915493,631.0,0.482421875,2,2,1,0,0.19889348634377352,0.7800586510263929,0.14580158878749655,0.05251141552511415,0.0293612215839348,11,2.090909090909091,15.0,0.3474307909590596,1.5333333333333334,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,11,20,49,126.42857142857143,677.7142857142857,0.482421875,2,2,1,0,0.04070581178352439,0.18181818181818182,0.03016983834156506,0.0,0.0,0,0.0,0.0,0.0,0.0,other
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,14,21,255,153.7450980392157,407.2627450980392,0.482421875,2,2,1,0,0.5611879160266258,1.0,0.19423325633053076,0.6332046332046332,0.4314108830237863,4,123.0,282.0,1.994340296430223,1.7446808510638299,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,6,21,59,129.76271186440678,483.9830508474576,0.482421875,2,2,1,0,0.3818936937216508,1.0,0.2551324236763492,0.3492063492063492,0.23964685255007842,4,16.5,33.0,0.9590430196365091,2.0,reticular
