image,blur_sigma,method,stability,n_interfaces,n_consistent
sbiad1540_EGM2_regular_static_34.tif,1.0,junction_mapper,0.8333333333333334,30,25
sbiad1540_EGM2_regular_static_34.tif,1.5,epg_original,0.9666666666666667,30,29
sbiad1540_EGM2_regular_static_34.tif,1.5,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_34.tif,1.5,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_34.tif,1.5,junction_mapper,0.4666666666666667,30,14
sbiad1540_EGM2_regular_static_34.tif,2.0,epg_original,0.9666666666666667,30,29
sbiad1540_EGM2_regular_static_34.tif,2.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_34.tif,2.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_34.tif,2.0,junction_mapper,0.3333333333333333,30,10
sbiad1540_EGM2_regular_static_20.tif,1.0,epg_original,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,1.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,1.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,1.0,junction_mapper,0.5666666666666667,30,17
sbiad1540_EGM2_regular_static_20.tif,1.5,epg_original,0.9,30,27
sbiad1540_EGM2_regular_static_20.tif,1.5,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,1.5,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,1.5,junction_mapper,0.3,30,9
sbiad1540_EGM2_regular_static_20.tif,2.0,epg_original,0.8,30,24
sbiad1540_EGM2_regular_static_20.tif,2.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,2.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_20.tif,2.0,junction_mapper,0.2,30,6
sbiad1540_EGM2_regular_static_35.tif,1.0,epg_original,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.0,junction_mapper,0.7333333333333333,30,22
sbiad1540_EGM2_regular_static_35.tif,1.5,epg_original,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.5,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.5,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,1.5,junction_mapper,0.5333333333333333,30,16
sbiad1540_EGM2_regular_static_35.tif,2.0,epg_original,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,2.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,2.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_static_35.tif,2.0,junction_mapper,0.4,30,12
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.0,epg_original,0.9666666666666667,30,29
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.0,junction_mapper,0.7,30,21
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.5,epg_original,0.9333333333333333,30,28
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.5,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.5,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,1.5,junction_mapper,0.5666666666666667,30,17
sbiad1540_EGM2_regular_18_20dyn_53.tif,2.0,epg_original,0.9,30,27
sbiad1540_EGM2_regular_18_20dyn_53.tif,2.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,2.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_53.tif,2.0,junction_mapper,0.3,30,9
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.0,epg_original,0.9,30,27
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.0,epg_blur_robust,0.7666666666666667,30,23
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.0,baseline_simple,1.0,30,30
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.0,junction_mapper,0.5333333333333333,30,16
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.5,epg_original,0.9333333333333333,30,28
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.5,epg_blur_robust,0.7666666666666667,30,23
