a,b,js,a_tissue,b_tissue,a_platform,b_platform,a_species,b_species,same_tissue,same_platform,same_species,group
xenium_mouse_brain,cosmx_colon,0.865277060964924,brain,colon,Xenium,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
xenium_mouse_brain,cosmx_pancreas,0.843017971825093,brain,pancreas,Xenium,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
xenium_colon,allen_merfish,0.997516931213442,colon,brain,Xenium,MERFISH,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
xenium_colon,mibi_glioma,0.831592538847696,colon,brain_tumor,Xenium,MIBI,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
xenium_colon,visium_breast,0.869049426953421,colon,breast,Xenium,Visium,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
xenium_colon,stereoseq_brain,0.868122325412037,colon,brain,Xenium,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
xenium_colon,stereoseq_embryo_e95,0.840827281881927,colon,embryo,Xenium,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
xenium_colon,cosmx_colon,0.513715329750886,colon,colon,Xenium,CosMx,human,human,TRUE,FALSE,TRUE,"same tissue, different platform"
xenium_colon,cosmx_pancreas,0.682256677619379,colon,pancreas,Xenium,CosMx,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
allen_merfish,mibi_glioma,0.876362198043428,brain,brain_tumor,MERFISH,MIBI,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
allen_merfish,visium_breast,1,brain,breast,MERFISH,Visium,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
allen_merfish,stereoseq_brain,0.784669932835087,brain,brain,MERFISH,Stereo-seq,mouse,mouse,TRUE,FALSE,TRUE,"same tissue, different platform"
allen_merfish,stereoseq_embryo_e95,0.999785255050894,brain,embryo,MERFISH,Stereo-seq,mouse,mouse,FALSE,FALSE,TRUE,"different tissue, different platform"
allen_merfish,cosmx_colon,0.999270556554262,brain,colon,MERFISH,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
allen_merfish,cosmx_pancreas,0.998421284554386,brain,pancreas,MERFISH,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
mibi_glioma,visium_breast,0.948235642971695,brain_tumor,breast,MIBI,Visium,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
mibi_glioma,stereoseq_brain,0.730082135523792,brain_tumor,brain,MIBI,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
mibi_glioma,stereoseq_embryo_e95,0.822708661362892,brain_tumor,embryo,MIBI,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
mibi_glioma,cosmx_colon,0.683909940811536,brain_tumor,colon,MIBI,CosMx,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
mibi_glioma,cosmx_pancreas,0.65644082767177,brain_tumor,pancreas,MIBI,CosMx,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
visium_breast,stereoseq_brain,0.976434276114618,breast,brain,Visium,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
visium_breast,stereoseq_embryo_e95,0.946250783676075,breast,embryo,Visium,Stereo-seq,human,mouse,FALSE,FALSE,FALSE,"different tissue, different platform"
visium_breast,cosmx_colon,0.895592294537268,breast,colon,Visium,CosMx,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
visium_breast,cosmx_pancreas,0.949877904823063,breast,pancreas,Visium,CosMx,human,human,FALSE,FALSE,TRUE,"different tissue, different platform"
stereoseq_brain,stereoseq_embryo_e95,0.833048296947921,brain,embryo,Stereo-seq,Stereo-seq,mouse,mouse,FALSE,TRUE,TRUE,"different tissue, same platform"
stereoseq_brain,cosmx_colon,0.782532429618431,brain,colon,Stereo-seq,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
stereoseq_brain,cosmx_pancreas,0.715564567614639,brain,pancreas,Stereo-seq,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
stereoseq_embryo_e95,cosmx_colon,0.769345716304428,embryo,colon,Stereo-seq,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
stereoseq_embryo_e95,cosmx_pancreas,0.713487298327091,embryo,pancreas,Stereo-seq,CosMx,mouse,human,FALSE,FALSE,FALSE,"different tissue, different platform"
cosmx_colon,cosmx_pancreas,0.419237247873592,colon,pancreas,CosMx,CosMx,human,human,FALSE,TRUE,TRUE,"different tissue, same platform"
