cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length
1,44.916984732824424,533.7196246819339,39.39550561797753,540.3917602996255,6.6721356176916515,-5.521479114846898,320.3907811161183,39.60921888388168,8.660492209831958
2,,,,,,,,,
3,84.38522969874279,461.99826045702537,68.5370018975332,474.01518026565464,12.016919808629268,-15.848227801209589,307.17122579827696,52.828774201723036,19.889009179093335
4,,,,,,,,,
5,83.97260273972603,587.6201264488935,74.18398806563899,591.262058677275,3.6419322283815063,-9.788614674087043,290.4081192980327,69.59188070196728,10.444168114018275
6,,,,,,,,,
7,,,,,,,,,
8,163.02969185506348,370.0882626200062,179.85562865497076,378.39181286549706,8.30355024549084,16.825936799907282,63.73379655349834,63.73379655349834,18.76329117915791
9,,,,,,,,,
10,215.2605550883095,484.84272497897393,231.80760095011877,514.8313539192399,29.988628940265926,16.547045861809266,28.88891855039015,28.88891855039015,34.250877251097876
11,,,,,,,,,
12,285.52804032766227,266.60243946349806,270.763262074426,277.6318289786223,11.029389515124251,-14.764778253236273,306.7599807152042,53.24001928479578,18.42949022473415
13,,,,,,,,,
14,274.0488095238095,571.8388392857142,278.59045226130655,568.0075376884422,-3.831301597272045,4.541642737497057,130.15077096275581,49.849229037244186,5.941833949574751
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,349.25237017121833,459.28661383896986,360.5507331378299,477.84105571847505,18.55444187950519,11.298362966611592,31.338504063297624,31.338504063297624,21.723727101610265
19,408.76254935138184,541.8723209249858,397.81477398015437,556.0981256890849,14.225804764099053,-10.947775371227465,322.4191412727875,37.5808587272125,17.95069098294319
20,385.38744864711714,355.92867261651793,398.4668874172185,367.3245033112583,11.395830694740368,13.079438770101376,48.935070811412444,48.935070811412444,17.347526502761646
21,395.72600821508587,206.98674383868558,421.71965317919074,236.48265895953756,29.495915120851976,25.993644964104874,41.38851928028622,41.38851928028622,39.31511906806895
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,499.29629414835006,280.8718320477875,494.72906127037663,258.0011242270939,-22.87070782069361,-4.567232877973424,191.29328952167793,11.293289521677934,23.322283172562184
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,549.8059620961759,394.8160787752074,548.9432835820895,415.93134328358207,21.11526450837465,-0.8626785140863831,357.6604430413462,2.339556958653816,21.132879819780655
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,728.4668161434978,343.2031390134529,768.8771121351766,383.67434715821815,40.47120814476523,40.41029599167882,44.95685034952843,44.95685034952843,57.19187626605727
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,878.0121757790632,312.5598992349319,867.0852713178294,324.2341085271318,11.674209292199919,-10.92690446123379,316.8937924719274,43.106207528072616,15.990134574262276
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
