image_id,condition,n_cells,n_edges,mean_degree,edge_density,mean_cell_area,std_cell_area,cv_cell_area,mean_aj_occupancy,std_aj_occupancy,median_aj_occupancy,mean_aj_clusters,std_aj_clusters,max_aj_clusters,mean_aj_intensity,std_aj_intensity,mean_linearity,std_linearity,mean_thickness,std_thickness,mean_skeleton_len,std_skeleton_len,prop_reticular,prop_straight,prop_fingers,prop_other,prop_thick,prop_thick_to_reticular
EGM2_regular_6dyn-21,6dyne,164,415,5.060975609756097,0.031048930121203053,6136.030487804878,3391.595162682458,0.5527344053167795,0.34520724981949713,0.19145355271820183,0.35,7.655421686746988,5.561193460780177,28,0.4346655872645448,0.13181402871832565,1.0768251651350957,0.6583555025817949,2.214258764397721,0.9726000016924347,51.63132530120482,38.4923793440079,0.7204819277108434,0.13253012048192772,0.05783132530120482,0.08674698795180723,0.0024096385542168677,0.0
EGM2_regular_6dyn-22,6dyne,210,531,5.057142857142857,0.024196855775803144,4770.852380952381,3009.362246592191,0.6307808345961539,0.35826520914190707,0.19212343036069449,0.3296296296296296,7.352165725047081,5.55200881704621,36,0.45454472290130216,0.12291953555677353,1.193978746487144,0.9321621571251854,2.1980023801098696,0.7765222934119046,46.16572504708098,34.74639702228015,0.6854990583804144,0.1337099811676083,0.054613935969868174,0.12617702448210924,0.0,0.0
EGM2_regular_6dyn-23,6dyne,207,518,5.004830917874396,0.024295295717836875,4819.202898550725,3110.4557118421353,0.6454294988861208,0.3495435946824303,0.1987169283790751,0.3333333333333333,7.4652509652509655,5.795161477645093,37,0.43399801478021455,0.12606787771134723,1.0855516350741192,0.6577822696385524,2.145739304328938,0.7496103794732842,46.18725868725869,34.318646659284624,0.6872586872586872,0.14864864864864866,0.05019305019305019,0.1138996138996139,0.0,0.0
EGM2_regular_6dyn-24,6dyne,144,366,5.083333333333333,0.035547785547785545,7162.479166666667,4347.685287162158,0.6070084374410152,0.32875609137213185,0.18378308849488995,0.3166666666666666,9.21311475409836,6.884840812353831,44,0.42259308123044514,0.12084975523766431,1.0785213643383873,0.6643409041030239,2.045244658270762,0.663868963957784,57.37431693989071,45.29948194627223,0.7568306010928961,0.11475409836065574,0.04918032786885246,0.07923497267759563,0.0,0.0
EGM2_regular_6dyn-25,6dyne,179,455,5.083798882681564,0.028560667880233506,5594.776536312849,3452.7135990369156,0.6171316363803108,0.3523197719198044,0.20284994435948928,0.3333333333333333,7.956043956043956,5.901750818980851,34,0.4387530377052079,0.13255359864700406,1.0740160277970756,0.6180155416532395,2.2119866565476998,0.9886159175155794,48.51868131868132,36.61664696912669,0.7032967032967034,0.12307692307692308,0.06373626373626373,0.1076923076923077,0.002197802197802198,0.0
EGM2_regular_6dyn-26,6dyne,146,351,4.808219178082192,0.033160132262635804,6819.1506849315065,4727.13806301367,0.6932150763964459,0.3125049033083133,0.20215191368573796,0.283625730994152,8.772079772079772,6.854772348364602,33,0.3904950790944289,0.13273980612727784,1.1371895483260726,2.006599326199096,2.03251195872318,0.7124707840816806,52.535612535612536,43.39398591784366,0.7094017094017094,0.14245014245014245,0.06267806267806268,0.08547008547008547,0.0,0.0
EGM2_regular_6dyn-27,6dyne,144,361,5.013888888888889,0.035062160062160064,7132.888888888889,4329.148139062188,0.6069277408492694,0.3563692372746422,0.19269835194297796,0.3422459893048128,8.986149584487535,6.728242867016791,34,0.44438523952652925,0.12824454729699322,1.1448449043053004,1.0638943567025338,2.116895725217107,0.6604303811011596,61.96675900277008,52.056102244171605,0.7313019390581718,0.12188365650969529,0.0443213296398892,0.10249307479224377,0.0,0.0
EGM2_regular_6dyn-28,6dyne,156,401,5.141025641025641,0.03316790736145575,6430.2692307692305,4032.4168296863195,0.6270992216610402,0.338268975728383,0.2143272904110788,0.3078703703703703,8.097256857855362,6.334273238214396,36,0.43191121443963937,0.14258708942550877,1.1499740997366645,1.1017331576466034,2.1837610627182267,0.9222583884486147,49.0,40.097630852707496,0.6907730673316709,0.12718204488778054,0.0773067331670823,0.10473815461346633,0.0,0.0
EGM2_regular_6dyn-29,6dyne,124,285,4.596774193548387,0.037372147915027534,7687.572580645161,5121.386201089065,0.6661902892446272,0.3219485830490981,0.19071626014909696,0.3,9.905263157894737,7.807643894770453,42,0.4028641459376958,0.13093029616885993,1.0181943085576335,0.5656491305220221,2.0820970159996217,0.7623538259304576,58.28421052631579,47.399559446583154,0.7578947368421053,0.11578947368421053,0.04912280701754386,0.07719298245614035,0.0,0.0
EGM2_regular_6dyn-30,6dyne,176,461,5.238636363636363,0.029935064935064936,5922.539772727273,3155.321699443738,0.5327649657962098,0.35069403338673044,0.18914462644290697,0.3390243902439024,8.249457700650758,5.8637264387717085,31,0.44245310637763874,0.1238538895258279,1.1256119778880094,0.8563888968884117,2.1328631048457996,0.7351713056491295,52.29501084598699,38.14867592793006,0.7462039045553145,0.1193058568329718,0.0455531453362256,0.08893709327548807,0.0,0.0
