cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length
1,3867.0,779.2102448427661,36.878200155159035,181.37910524954745,0.9441979668008544,1.336098390604699,203.23801106460243,66.94223222299165
2,128.0,70.52691193458118,5.3828125,488.0703125,0.9889317716981741,1.1801459100486114,35.46322792496752,5.261714265978713
3,1298.0,225.48023074035524,14.060862865947612,790.6317411402157,0.8446881683316382,-1.110156730628069,62.06885782161326,33.222897444221246
4,828.0,138.98885271170678,18.916666666666668,538.4420289855072,0.702088417225442,1.2134975757379742,39.698818211388534,28.269122715743432
5,999.0,126.5685424949238,25.54054054054054,405.66466466466466,0.8387303667745719,1.3609508042618885,48.414984308459836,26.36423164364303
6,65.0,40.31370849898476,15.723076923076922,264.7846153846154,0.9799024689496031,-1.475804650396367,21.975832594308798,4.383677444881308
7,80.0,45.04163056034261,24.5625,719.3875,0.9701859245689728,-0.5551983601544852,21.27771852009071,5.156907462790941
8,90.0,41.55634918610404,22.5,287.35555555555555,0.8955542272557833,1.4082682964743507,17.15490104850341,7.633114157698129
9,2799.0,428.8488091290289,67.08931761343337,868.3347624151482,0.7536181437091415,-0.5690376502720557,83.14002898795063,54.64897845848502
10,106.0,61.80508652763321,29.235849056603772,846.4056603773585,0.9855604025226531,-0.9024524991893251,29.47003050025472,4.989990058433242
11,101.0,56.8700576850888,29.84158415841584,337.8712871287129,0.9741678620646655,1.273111093411819,27.678958424665772,6.250603598904728
12,171.0,95.29036790187178,33.461988304093566,585.3976608187135,0.9905708467778839,1.18627774227415,46.70562244546636,6.398738034257511
13,153.0,58.76955262170047,46.83660130718954,912.8039215686274,0.6895086554452525,0.9709779515628336,18.742100044177114,13.574480291626708
14,2410.0,764.4406922210657,97.61452282157677,85.56597510373444,0.7042298740899183,1.5050971824744033,183.65734267238773,130.39157653823148
15,90.0,38.384776310850235,48.977777777777774,146.27777777777777,0.8640049156709295,1.3916081626628105,15.52756035373535,7.817868442994568
16,11241.0,2057.2297602952717,220.76220976781426,814.3330664531625,0.9785356384350562,-0.8248072747990338,505.18824616558516,104.108014523756
17,812.0,119.59797974644665,79.40517241379311,12.230295566502463,0.7631249770553847,0.5050633590656116,41.408789159296525,26.760468660340155
18,32075.0,6835.805983871379,261.46378799688233,246.4894154325799,0.8261812281621568,-1.1579012421783526,611.3166065061291,344.41849860885424
19,129.0,59.11269837220809,69.89922480620154,563.9767441860465,0.971230213381495,1.0699168034642543,27.563026543693116,6.563929339704323
20,3227.0,544.4457428549491,104.33746513789897,420.0117756430121,0.917894810102077,1.4008783568562981,139.50729343730987,55.359812435911216
21,108.0,58.66295090390226,93.87962962962963,546.9074074074074,0.9804233735144277,-1.312615601350418,29.14146628204997,5.737984212456966
22,898.0,119.29646455628165,112.30178173719376,784.7260579064588,0.7687177971170197,-0.8883481541615156,42.57935819293914,27.23325116313739
23,162.0,73.55634918610404,99.75925925925925,261.98148148148147,0.9862440643671402,1.5561489223288676,36.511809036755096,6.035242499644066
24,886.0,132.61017305526642,134.84198645598195,842.3024830699774,0.7658989549641034,-0.5414302134242683,43.190517649535074,27.769816512855805
25,89.0,37.21320343559643,132.51685393258427,291.7865168539326,0.65118716963127,0.5886773699660379,12.84850508939072,9.750951114287302
26,66.0,37.21320343559643,130.95454545454547,562.9848484848485,0.9537877833093711,1.1870466632440069,17.234386824466874,5.178606735175842
27,3059.0,543.3635277547903,176.4445897352076,66.37299771167048,0.9464679798563035,-1.2621238681211966,157.52529158528546,50.84880376303045
28,730.0,186.45079348883237,172.2219178082192,747.9780821917808,0.9725542863437088,-0.8021071344738601,75.35526207112147,17.533367295421435
29,1526.0,178.06601717798213,171.1480996068152,875.7228047182176,0.8502782180146122,-0.666027512545167,61.685667047194904,32.467232963397535
30,394.0,109.63961030678928,161.19289340101523,578.3375634517766,0.9116430899077885,0.180940170308678,42.622335344405315,17.517047486066843
31,453.0,190.35028842544403,182.1037527593819,943.6799116997793,0.9958967483411351,-0.7152475400030792,93.82105948363876,8.490503496007289
32,261.0,75.49747468305833,168.01149425287358,530.1455938697318,0.924139471356599,0.7814491632626007,31.401973165984945,11.997289671230952
33,1209.0,139.88225099390857,191.8221670802316,174.10090984284534,0.7869725836029846,-1.4374845694431948,50.42269308337487,31.1101949466185
34,155.0,79.05382386916237,209.33548387096775,703.2258064516129,0.9928661739224343,-0.7913154743930818,43.569983754751085,5.195025987152428
35,117.0,59.012193308819754,205.77777777777777,549.008547008547,0.982074712263101,-0.878850843257225,28.92910837677523,5.4529074506289925
36,13017.0,3365.111144737403,393.2832449873243,930.9554428823845,0.937338397821895,-0.29445314186313326,472.32945637512864,164.56918615115728
37,943.0,133.88225099390857,236.2014846235419,522.0434782608696,0.9059273733429968,-1.206539979001084,54.00015063188775,22.865451440917507
38,650.0,254.7228714274745,243.0523076923077,452.9661538461539,0.8687543290570926,-1.5292713321182674,80.1950050083205,39.71603807772355
39,845.0,118.12489168102785,255.92899408284023,614.1443786982248,0.8114872868339634,-0.8317230169622394,43.35068073185651,25.33284050426125
40,101.0,62.083261120685236,256.3960396039604,890.1485148514852,0.9916277595133461,-0.661368693838096,32.577037948721696,4.206651423816341
41,445.0,86.76955262170047,269.3393258426966,1015.0696629213484,0.8366838095037551,-0.35619465355960767,32.82337204917085,17.97690878510273
42,115.0,57.94112549695428,260.5652173913044,562.2434782608696,0.978460864068183,-0.9171933834746273,28.93358310016527,5.9728291203069395
43,349.0,156.63961030678928,265.69340974212037,514.5272206303725,0.9922379795778182,-1.4054389508344853,79.45083058127345,9.879988516021118
44,136.0,57.941125496954285,270.0,653.2426470588235,0.8930317144558002,1.00944270815601,21.79431892882296,9.807306866060697
45,1070.0,133.84671708797583,281.8448598130841,309.8542056074766,0.6622076908157892,1.5091434552118534,43.072257636054346,32.27491880213775
46,239.0,69.84062043356595,284.3305439330544,554.0753138075314,0.8239586525447464,0.41354925092459377,24.804542431202268,14.055492138813642
47,1599.0,157.19595949289334,295.36335209505944,186.71232020012508,0.5339848320951457,1.2036021620284036,49.65092386406034,41.97956101257092
48,85.0,49.35533905932738,280.77647058823527,938.0941176470589,0.9725322693746375,-0.8373588528128278,25.027803218669096,5.825674022143954
49,274.0,142.3259018078045,284.2043795620438,412.6094890510949,0.996655591826335,-1.3454141180928918,80.17813697495238,6.551898761880506
50,80.0,39.3492424049175,289.6625,2.1875,0.9395705178451208,0.11199962157659406,17.66976221369284,6.049339080556871
51,70.0,45.34924240491749,300.75714285714287,465.15714285714284,0.9762326652256059,-1.4281114321655874,22.203406196462428,4.812036164702439
52,1582.0,411.96655813512035,358.53666245259166,847.0303413400759,0.9740456983390077,-0.3565449952987129,146.9055906569753,33.25229301379313
53,1341.0,262.8772003600252,346.5965697240865,785.4004474272931,0.902967305361938,-0.7876341749788038,78.3335613437219,33.660656433687
54,1327.0,326.39801564019655,364.06857573474,629.4476262245666,0.974442953760783,0.5462520495105176,119.46331796663605,26.835654833515584
55,155.0,64.18376618407358,333.76774193548385,549.4774193548387,0.8581190503154384,0.7091186742523224,22.172831282526342,11.384657344153162
56,111.0,60.52691193458118,331.52252252252254,118.8108108108108,0.9388551165335686,1.0824453527830675,26.74998288538496,9.210352414069478
57,1157.0,139.39696961967,343.3586862575627,363.32843560933446,0.7708949461747656,-1.5044644802662954,48.40846567047504,30.834368025886164
58,2700.0,879.4762261269984,367.9411111111111,383.8937037037037,0.9780110499145259,-1.3195572598221776,308.73977744252477,64.38863081399568
59,175.0,80.66904755831213,352.86857142857144,560.8514285714285,0.9692625462252168,-0.026470645333413007,35.85013708812949,8.820162277365236
60,179.0,78.42640687119287,362.1340782122905,1018.5251396648044,0.8905017953084838,0.2183923978733007,25.355607512118663,11.536287399703939
61,1170.0,135.9827560572969,370.8811965811966,471.24957264957266,0.7944577512389595,-1.3004639071834598,49.71356617930456,30.192014324966195
62,1132.0,251.17871555019025,376.1863957597173,171.76501766784452,0.9480397054440838,1.2336033503532893,85.53494065021901,27.213115367868873
63,954.0,118.8111831820431,381.4350104821803,587.5230607966457,0.6525220255902293,-0.04360365170110458,40.38413889624987,30.60187915792326
64,870.0,123.78174593052022,384.68390804597703,245.1425287356322,0.633973834666949,-1.3867426472806863,38.24592787132411,29.577660284707626
