cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length
1,,,,,,,,,
2,3.748663101604278,78.40106951871658,17.402010050251256,86.92462311557789,8.523553596861305,13.653346948646979,58.024164123638194,58.024164123638194,16.09549156809742
3,69.09837631327602,130.45367717287488,72.95983935742971,150.570281124498,20.11660395162312,3.8614630441536946,10.865984651310338,10.865984651310338,20.483863194910857
4,42.66046511627907,190.65302325581396,41.24927536231884,203.2985507246377,12.64552746882373,-1.4111897539602296,353.6323688050869,6.367631194913088,12.724025364893683
5,,,,,,,,,
6,10.404328018223234,671.4555808656037,4.158878504672897,659.018691588785,-12.436889276818647,-6.245449513550337,206.6644921924497,26.6644921924497,13.916962833540685
7,,,,,,,,,
8,28.279395900755123,810.6321467098167,30.071005917159763,822.4082840236687,11.776137313852018,1.7916100164046398,8.650587928943866,8.650587928943866,11.911644575186891
9,60.459526159921026,889.4866732477789,67.15189873417721,862.4050632911392,-27.08160995663968,6.692372574256183,166.11923627429746,13.880763725702536,27.896262267841937
10,,,,,,,,,
11,3.6447368421052633,113.86842105263158,6.345132743362832,109.10619469026548,-4.762226362366093,2.700395901257569,150.4448191134062,29.555180886593803,5.474571942165275
12,10.808801213960546,229.32928679817906,3.3333333333333335,234.6,5.270713201820939,-7.475467880627212,305.18643918084643,54.813560819153565,9.146750116305716
13,105.69316688567675,305.69908015768726,132.2764857881137,291.71317829457365,-13.985901863113611,26.583318902436943,117.74956313411967,62.25043686588033,30.037947579575174
14,8.247264770240701,418.7483588621444,4.5479452054794525,401.13698630136986,-17.611372560774555,-3.6993195647612485,191.86268103740647,11.862681037406475,17.99570528533484
15,120.9025787965616,402.8137535816619,123.29511677282377,390.1825902335456,-12.631163348116274,2.392537976262176,169.274359547037,10.725640452963006,12.855758456608177
16,81.20859965136549,466.3503776873911,69.07124681933843,454.7175572519084,-11.6328204354827,-12.137352832027062,226.21594557417697,46.21594557417697,16.811836456892486
17,51.01223776223776,82.24475524475524,63.70909090909091,88.20779220779221,5.96303696303697,12.696853146853151,64.84305120416363,64.84305120416363,14.027397821951865
18,53.40650406504065,697.4888211382114,44.465020576131685,694.0987654320987,-3.390055706112662,-8.941483488908965,249.23638099731934,69.23638099731934,9.562562662434095
19,57.4167371090448,570.3846153846154,48.162393162393165,554.2478632478633,-16.13675213675208,-9.254343946651638,209.83404818101218,29.83404818101218,18.602087286267114
20,62.817687074829934,940.5700680272109,70.34736842105264,951.6315789473684,11.061510920157502,7.529681346222702,34.243511115618524,34.243511115618524,13.381073387901951
21,61.46153846153846,1013.4251012145749,54.28834355828221,1012.1288343558282,-1.2962668587466624,-7.1731949032562525,259.7566370478949,79.75663704789491,7.289378086585057
22,73.43709327548807,727.2277657266811,75.58426966292134,717.3033707865169,-9.924394940164234,2.1471763874332765,167.79202358320333,12.207976416796669,10.15401306711334
23,123.59723964868256,768.547051442911,120.24324324324324,754.1351351351351,-14.411916307775869,-3.353996405439318,193.10089917883028,13.100899178830275,14.797047798464256
24,100.62676962676963,499.7606177606178,114.95370370370371,491.44444444444446,-8.31617331617332,14.32693407693408,120.13333472131463,59.866665278685375,16.56562038287272
25,105.67391304347827,647.3478260869565,100.07772020725389,667.4715025906736,20.123676503717093,-5.596192836224375,344.4592837318095,15.540716268190522,20.88731026931099
26,163.2450980392157,192.08235294117648,142.03731343283582,185.65485074626866,-6.427502194907817,-21.207784606379875,253.13937230371704,73.13937230371704,22.160390618762747
27,122.34133790737565,932.2332761578044,111.25274725274726,949.7032967032967,17.470020545492275,-11.08859065462839,327.59584201946313,32.404157980536866,20.691990251443535
28,104.99692622950819,581.623975409836,100.13526570048309,594.695652173913,13.071676764076983,-4.861660529025102,339.5986618525051,20.401338147494926,13.946486171218568
29,171.57608052101835,618.327412670219,136.02197802197801,625.6263736263736,7.298960956154588,-35.55410249904034,281.60116260150454,78.39883739849546,36.29557873283929
30,,,,,,,,,
31,118.36833731105807,79.91805887032618,116.17164179104478,63.742537313432834,-16.175521556893344,-2.196695520013293,187.73366679977784,7.733666799777836,16.32399978084929
32,155.0355486862442,962.6777434312211,172.93893129770993,955.5381679389313,-7.139575492289737,17.90338261146573,111.74130309462548,68.25869690537452,19.274455819624006
33,173.9786910197869,508.4558599695586,157.00921658986175,517.4700460829494,9.014186113390735,-16.969474429925157,297.9772435256338,62.02275647436619,19.21506215745164
34,160.36405005688283,36.03640500568828,152.72413793103448,10.732758620689655,-25.303646384998626,-7.639912125848355,196.80060359813152,16.800603598131516,26.431851574714525
35,176.95119047619048,764.7172619047619,200.09138381201043,771.0626631853786,6.34540128061667,23.14019333581996,74.66554175288918,74.66554175288918,23.994429875101808
36,,,,,,,,,
37,185.01527272727273,575.4727272727273,202.09225092250924,574.9649446494465,-0.507782623280832,17.076978195236507,91.70318371657578,88.29681628342422,17.084525965712043
38,207.1839530332681,650.4970645792564,216.06870229007635,665.1183206106871,14.621256031430676,8.884749256808249,31.285367199040056,31.285367199040056,17.109058924821163
39,225.25423728813558,288.1834496510469,238.49700598802394,278.9071856287425,-9.27626402230436,13.242768699888359,125.01038493281685,54.98961506718315,16.168487778708343
40,225.83084577114428,463.2350746268657,218.70464135021098,478.253164556962,15.018089930096323,-7.1262044209333055,334.6152845154161,25.38471548458392,16.623050700680366
41,229.77100591715975,958.7147928994083,223.22507122507122,951.2934472934473,-7.421345605960937,-6.545934692088537,221.41363050188087,41.413630501880874,9.895738052121425
