cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length
1,15.811020408163266,99.39510204081633,3.9215686274509802,120.54901960784314,21.15391756702681,-11.889451780712285,330.6620576475463,29.337942352453695,24.266175884931847
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,23.7672131147541,309.13989071038253,16.272727272727273,299.45454545454544,-9.685345255837092,-7.494485842026826,217.73257730734343,37.73257730734343,12.246355815552095
7,57.924095322153576,795.4763901147396,37.976190476190474,793.5,-1.9763901147396155,-19.9479048459631,264.3417391920992,84.34173919209923,20.04557371663976
8,58.356269975559314,862.6226734348562,70.16666666666667,863.3333333333334,0.7106598984771608,11.810396691107357,86.55652745353513,86.55652745353513,11.831758427749579
9,55.312139917695475,179.4320987654321,58.607142857142854,190.58928571428572,11.15718694885362,3.2950029394473788,16.45321973663101,16.45321973663101,11.633566305421413
10,71.59444444444445,1007.8882716049383,72.42822966507177,1011.5167464114833,3.6284748065450003,0.8337852206273197,12.941306320544271,12.941306320544271,3.7230400502638066
11,70.33264382676147,568.2482223658694,64.03125,584.90625,16.658027634130576,-6.301393826761469,339.27938667063165,20.720613329368348,17.810037866871745
12,71.9300134589502,703.3007114016535,73.8108108108108,671.8378378378378,-31.46287356381572,1.8807973518606076,176.57902624801935,3.420973751980654,31.519038874486956
13,105.3,352.131914893617,109.44444444444444,344.3333333333333,-7.798581560283708,4.144444444444446,152.01222950042853,27.987770499571468,8.831437827753955
14,87.03005100909293,42.197493901086716,121.48611111111111,43.90277777777778,1.7052838766910625,34.456060102018185,87.16665480713894,87.16665480713894,34.498232865669976
15,126.69796954314721,159.00726811259807,119.73333333333333,182.8,23.792731887401942,-6.964636209813875,343.68412954935644,16.31587045064356,24.791132450956002
16,,,,,,,,,
17,119.46929727333186,530.9379295056528,115.18367346938776,523.6326530612245,-7.305276444428387,-4.285623803944105,210.39792030049315,30.397920300493155,8.46957114135377
18,132.8007530120482,895.1819277108434,123.0,896.8548387096774,1.672910998834027,-9.800753012048204,279.68658083994706,80.31341916005294,9.9425042526112
19,133.84940072954663,677.9697759249609,141.78343949044586,689.5350318471337,11.56525592217281,7.934038760899227,34.45104282281809,34.45104282281809,14.025124441686946
20,142.2341309405118,810.4026254569625,143.44444444444446,825.0,14.597374543037517,1.2103135039326673,4.739729038555408,4.739729038555408,14.647464023766078
21,157.65135699373695,287.34864300626305,164.72222222222223,283.5,-3.848643006263046,7.070865228485275,118.55927173519115,61.440728264808854,8.050415397298426
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,178.78826686181242,631.0504939626784,188.90243902439025,639.6829268292682,8.632432866589852,10.11417216257783,49.51928613233635,49.51928613233635,13.297194280390318
26,209.92630937880634,314.07917174177834,201.83333333333334,297.1666666666667,-16.912505075111653,-8.092976045472994,205.5720585408117,25.572058540811696,18.749109023851698
27,226.1329358119958,810.3390915468257,227.775,799.1,-11.239091546825648,1.6420641880042126,171.68773061962423,8.312269380375767,11.358413339699066
28,205.17182003332715,718.3784484354749,214.0,712.75,-5.628448435474866,8.828179966672849,122.51974270659062,57.48025729340938,10.469775227518655
29,,,,,,,,,
30,226.96372302396398,910.7607573149742,219.34615384615384,920.25,9.489242685025829,-7.6175691778101395,321.2439529829383,38.75604701706169,12.16852854350267
31,212.36100766703177,548.7975903614458,218.48275862068965,537.5172413793103,-11.280348982135479,6.12175095365788,151.5116866347516,28.488313365248388,12.834411084945662
32,217.64895051030234,458.5848257269401,232.88888888888889,440.1111111111111,-18.47371461582901,15.239938378586544,140.4789856943814,39.52101430561859,23.94856683582985
33,237.18268215417106,207.740232312566,245.3846153846154,193.30769230769232,-14.432540004873687,8.201933230444325,150.39066852699986,29.60933147300014,16.600298783725137
34,248.0321243523316,344.530310880829,248.41666666666666,350.0833333333333,5.553022452504308,0.38454231433505015,3.9613623034802687,3.9613623034802687,5.566321150412642
35,249.3987882126136,560.4714954557973,250.78625954198472,548.4198473282443,-12.051648127552994,1.3874713293711238,173.43261631903124,6.56738368096876,12.131252997121875
36,,,,,,,,,
37,269.4923835125448,257.269041218638,275.42857142857144,263.3285714285714,6.059530209933428,5.936187916026654,44.41089447344157,44.41089447344157,8.482702006994984
38,298.6880616174583,124.02952503209242,282.75,105.0,-19.029525032092423,-15.938061617458288,219.94765051702805,39.94765051702805,24.822260796892156
39,274.9339117121715,607.3708854299566,277.27272727272725,604.0,-3.3708854299566156,2.3388155605557586,145.2459939606849,34.7540060393151,4.102794999532824
40,299.02371120287734,397.9880111895564,291.5238095238095,396.39285714285717,-1.5951540466992356,-7.499901679067818,257.9926855402315,77.99268554023149,7.6676620705652665
41,269.25307219662056,709.1265360983103,286.43918918918916,708.1148648648649,-1.0116712334454405,17.1861169925686,93.36886329445923,86.63113670554077,17.215867563583203
42,325.805544709098,773.4967786021085,316.3541666666667,778.4791666666666,4.9823880645581085,-9.451378042431315,297.79640295550246,62.20359704449754,10.684228457254362
43,346.3060553027651,321.5822891144557,343.5870967741935,323.35483870967744,1.772549595221733,-2.7189585285715907,303.10122488302403,56.89877511697597,3.2457152597868038
44,338.1457503320053,698.722443559097,319.6489361702128,705.4787234042553,6.75627984515836,-18.496814161792543,290.06559149190963,69.93440850809037,19.692116480510222
45,323.07922004521475,881.7164657121326,332.53846153846155,879.3846153846154,-2.331850327517259,9.459241493246793,103.84819065389352,76.15180934610648,9.742421443229818
