source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:BP,GO:0007154,cell communication,0.035645412879520784,21,7042,33,0.6363636363636364,0.002982107355864811,brain_xenium_allen,whole_genome_bg
GO:MF,GO:0005520,insulin-like growth factor binding,0.035922433681452176,2,16,20,0.1,0.125,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0055062,phosphate ion homeostasis,0.036267208077482994,2,19,10,0.2,0.10526315789473684,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0006865,amino acid transport,0.03723447253534163,3,151,10,0.3,0.019867549668874173,brain_xenium_allen,whole_genome_bg
GO:MF,GO:0008068,extracellularly glutamate-gated chloride channel activity,0.03730830990373039,1,2,1,1.0,0.5,brain_xenium_allen,whole_genome_bg
GO:MF,GO:0140787,phosphate ion uniporter activity,0.03730830990373039,1,2,1,1.0,0.5,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0044305,calyx of Held,0.03861797910331244,2,27,19,0.10526315789473684,0.07407407407407407,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0005576,extracellular region,0.03908699555766937,6,2340,11,0.5454545454545454,0.002564102564102564,brain_xenium_allen,whole_genome_bg
KEGG,KEGG:05033,Nicotine addiction,0.03979748460236466,2,40,10,0.2,0.05,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0034707,chloride channel complex,0.039915394800357856,2,53,10,0.2,0.03773584905660377,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0031102,neuron projection regeneration,0.042027251395412524,2,55,4,0.5,0.03636363636363636,brain_xenium_allen,whole_genome_bg
KEGG,KEGG:04082,Neuroactive ligand signaling,0.04300205175357624,3,194,10,0.3,0.015463917525773196,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0042127,regulation of cell population proliferation,0.044940004350206196,12,1499,50,0.24,0.008005336891260841,brain_xenium_allen,whole_genome_bg
