source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:CC,GO:0044297,cell body,0.010908117435083823,7,499,50,0.14,0.014028056112224449,brain_3plat,whole_genome_bg
GO:BP,GO:0072073,kidney epithelium development,0.011404209934768794,5,154,44,0.11363636363636363,0.032467532467532464,brain_3plat,whole_genome_bg
GO:MF,GO:0015292,uniporter activity,0.011824242069198986,2,11,17,0.11764705882352941,0.18181818181818182,brain_3plat,whole_genome_bg
GO:CC,GO:0030425,dendrite,0.012552538136285228,5,530,21,0.23809523809523808,0.009433962264150943,brain_3plat,whole_genome_bg
GO:CC,GO:0097447,dendritic tree,0.012665145535145125,5,531,21,0.23809523809523808,0.009416195856873822,brain_3plat,whole_genome_bg
GO:BP,GO:0023052,signaling,0.012910264560746381,29,6987,50,0.58,0.0041505653356233,brain_3plat,whole_genome_bg
GO:BP,GO:0015800,acidic amino acid transport,0.013163594104454193,2,74,2,1.0,0.02702702702702703,brain_3plat,whole_genome_bg
GO:CC,GO:0098552,side of membrane,0.014735145900261504,7,599,44,0.1590909090909091,0.011686143572621035,brain_3plat,whole_genome_bg
GO:BP,GO:0007154,cell communication,0.01525958701138577,29,7042,50,0.58,0.00411814825333712,brain_3plat,whole_genome_bg
GO:BP,GO:0051960,regulation of nervous system development,0.015578918590821817,7,435,44,0.1590909090909091,0.016091954022988506,brain_3plat,whole_genome_bg
GO:BP,GO:0010001,glial cell differentiation,0.015806374711618085,6,255,49,0.12244897959183673,0.023529411764705882,brain_3plat,whole_genome_bg
GO:MF,GO:0005313,L-glutamate transmembrane transporter activity,0.01675466568577999,2,13,17,0.11764705882352941,0.15384615384615385,brain_3plat,whole_genome_bg
GO:BP,GO:0030154,cell differentiation,0.01842917778671675,22,4372,50,0.44,0.005032021957913998,brain_3plat,whole_genome_bg
GO:BP,GO:0048869,cellular developmental process,0.018498821246446587,22,4373,50,0.44,0.005030871255431054,brain_3plat,whole_genome_bg
GO:BP,GO:0006835,dicarboxylic acid transport,0.020849261598983718,2,93,2,1.0,0.021505376344086023,brain_3plat,whole_genome_bg
GO:BP,GO:0031102,neuron projection regeneration,0.021681121469989535,2,55,3,0.6666666666666666,0.03636363636363636,brain_3plat,whole_genome_bg
GO:CC,GO:0098794,postsynapse,0.021831734306531222,8,806,47,0.1702127659574468,0.009925558312655087,brain_3plat,whole_genome_bg
