image_id,condition,n_cells,n_edges,mean_degree,edge_density,mean_cell_area,std_cell_area,cv_cell_area,mean_aj_occupancy,std_aj_occupancy,median_aj_occupancy,mean_aj_clusters,std_aj_clusters,max_aj_clusters,mean_aj_intensity,std_aj_intensity,mean_linearity,std_linearity,mean_thickness,std_thickness,mean_skeleton_len,std_skeleton_len,prop_reticular,prop_straight,prop_fingers,prop_other,prop_thick,prop_thick_to_reticular
BSA_6dyn-146,6dyne,119,290,4.873949579831932,0.04130465745620282,8603.697478991597,4611.935695221476,0.5360411272575359,0.3452839144433744,0.22713410797169953,0.3127088554720133,7.437931034482759,6.611142622666238,37,0.3913825458093556,0.1808846938708786,0.8863349261331301,0.7276984546355115,2.510371215720593,1.144566776297473,61.262068965517244,51.954467780434136,0.593103448275862,0.2827586206896552,0.04482758620689655,0.07931034482758621,0.0,0.0
BSA_BMP9_20dyn-2,high_shear,132,327,4.954545454545454,0.037820957668285915,7777.477272727273,5059.283063994041,0.6505043842088835,0.44799133958585813,0.19509518900093187,0.445054945054945,7.01223241590214,6.250877501671999,36,0.46976492210082327,0.14445567958243571,1.115856289885108,1.2083857841491126,2.781763925873607,1.0378431967219872,73.08868501529052,58.54394888742128,0.6330275229357798,0.24464831804281345,0.027522935779816515,0.09480122324159021,0.0,0.0
BSA_BMP9_20dyn-8,high_shear,83,177,4.265060240963855,0.05201292976785189,11299.686746987953,6507.119281195041,0.5758672277290856,0.29324408626343756,0.17821829178194654,0.2826666666666667,9.875706214689265,8.53044865091673,48,0.33887044444190945,0.14604993912956699,0.8623053209627666,0.47988111584295035,2.283198277205131,0.8113003983669207,70.59887005649718,58.391046547375666,0.7344632768361582,0.1807909604519774,0.03954802259887006,0.04519774011299435,0.0,0.0
BSA_BMP9_6dyn-29,6dyne,101,212,4.198019801980198,0.04198019801980198,8501.475247524753,4558.846048275944,0.5362417598761197,0.2906851053882656,0.19309265255001798,0.26313628899835795,7.023584905660377,5.348021769830108,30,0.3537542407956864,0.16114399835794208,0.8683912317897456,0.578282465757179,2.3654006426788405,0.8892847206337562,46.74528301886792,37.653964833627185,0.6650943396226415,0.20754716981132076,0.08018867924528301,0.04716981132075472,0.0,0.0
BSA_BMP9_static-23,static,66,85,2.5757575757575757,0.039627039627039624,9252.712121212122,5108.826069476089,0.5521436312455837,0.10896179247378839,0.12120446988732879,0.0614657210401891,4.858823529411764,5.104043544504854,22,0.181081559617584,0.09973400551226165,0.6136295213595078,0.5886636936219467,1.6032139002841568,1.1054850562216307,21.435294117647057,27.988708207326145,0.4117647058823529,0.4235294117647059,0.15294117647058825,0.011764705882352941,0.0,0.0
BSA_static-111,static,151,348,4.6092715231788075,0.030728476821192053,6278.019867549669,4539.190189846934,0.7230289622543986,0.3973472957899913,0.2476937757611052,0.3734028334669874,6.224137931034483,5.472624362252082,28,0.4323028928198531,0.1815701656982378,1.0695621323783855,0.8265852309463015,2.57076964613585,1.1046348617124098,51.997126436781606,43.478405555446834,0.5517241379310345,0.2672413793103448,0.0603448275862069,0.1206896551724138,0.0,0.0
BSA_static-115,static,159,397,4.9937106918239,0.03160576387230316,6330.786163522012,4417.452621460169,0.6977731528689959,0.4223952010507076,0.26801917404887265,0.4204545454545454,5.6397984886649875,5.306154989007714,33,0.43828640645102973,0.19327564230661534,1.1396525390744867,1.3878699160860268,2.7387552827495374,1.5859442048170616,52.16372795969773,47.92176804682699,0.5163727959697733,0.28463476070528965,0.04785894206549118,0.14105793450881612,0.007556675062972292,0.0025188916876574307
EGM2_regular_18-20dyn-06,high_shear,140,329,4.7,0.03381294964028777,6747.757142857143,2747.01206904931,0.40710002018332375,0.16562406980023095,0.19539949146472846,0.0713422007255139,6.018237082066869,5.481646366069698,36,0.23558891501157064,0.12230961317106409,1.0290435962944204,1.158084426913402,1.6574852561487656,0.9902973943306908,28.401215805471125,34.52645854965037,0.5075987841945289,0.25227963525835867,0.18541033434650456,0.0547112462006079,0.0,0.0
EGM2_regular_18-20dyn-53,high_shear,91,123,2.7032967032967035,0.030036630036630037,7587.758241758242,4266.309071839392,0.5622621248474041,0.1845164571096333,0.20692251230854827,0.1021897810218978,4.544715447154472,4.725674611430635,28,0.19085977456221928,0.10488312609435589,0.9860696479582063,1.0813561212901854,1.7983519041159166,1.1105989491500603,22.471544715447155,28.441578085397058,0.37398373983739835,0.34146341463414637,0.12195121951219512,0.16260162601626016,0.0,0.0
EGM2_regular_18-20dyn-60,high_shear,81,96,2.3703703703703702,0.02962962962962963,7668.222222222223,4392.447845450188,0.5728117571659618,0.16188347804498107,0.1985143153264141,0.08220720720720714,3.09375,3.7193041935569786,17,0.206851330226641,0.1313209126631865,0.8555656301744422,1.01434718708169,1.6719469503656799,1.3117669257100855,14.71875,19.695419251025967,0.19791666666666666,0.4895833333333333,0.14583333333333334,0.16666666666666666,0.0,0.0
