condition,n_images,n_cells_total,R_mean,R_std,R_min,R_max,V_mean,abs_V_mean,V_std
6dyne,5,496,0.2050175454379957,0.1049234401417001,0.0783370161972901,0.3431439241801496,0.1677960176825261,0.1677960176825261,0.1149850201692135
high_shear,5,435,0.2313394564031788,0.1340469518946294,0.0800032283731894,0.4084800261159156,-0.0500105544760583,0.0500105544760583,0.2649092708228964
static,5,401,0.126226191556982,0.0550385168242729,0.0387197274697534,0.1775545999430609,0.0824572514340993,0.0824572514340993,0.0587236717862649
