image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph,dataset,shear_stress,supplementation,replicate,section
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,16,22,108,28.5,822.0555555555555,0.470703125,2,2,0,0,0.3553946249552452,0.8543233082706767,0.1657624025413427,0.2142857142857142,0.1293859649122807,11,6.545454545454546,38.0,0.758182540244241,1.894736842105263,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,17,22,146,38.0,834.9794520547945,0.470703125,2,2,0,0,0.4474832915622389,1.0,0.179099657750988,0.4044444444444444,0.2523725981620718,15,12.133333333333333,86.0,1.3216699761074917,2.116279069767442,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,17,18,38,11.0,915.0263157894736,0.470703125,2,2,0,0,0.6180779329275571,0.956766917293233,0.1324850733967962,0.8809523809523809,0.5709288101205395,1,111.0,42.0,0.0,2.642857142857143,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,7,21,140,37.5,409.5285714285714,0.470703125,2,2,0,0,0.1663816659704817,0.6278195488721805,0.1327960444247276,0.0416666666666666,0.0223279553049289,5,3.6,16.0,0.2421741915661332,1.125,fingers,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,10,11,134,36.0,544.6044776119403,0.470703125,2,2,0,0,0.575887181722422,1.0,0.2423354586696785,0.6570048309178744,0.4737999891031927,3,90.66666666666669,81.0,1.2204277175842493,3.3580246913580245,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,14,15,152,40.48026315789474,736.1842105263158,0.470703125,2,2,0,0,0.7079276717434612,1.0,0.2446279204612246,0.8012820512820513,0.6416401580875263,1,375.0,100.0,18.56953381770519,3.75,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,3,4,36,12.5,213.38888888888889,0.470703125,2,2,0,0,0.262327694235589,0.7904135338345865,0.2023269880944036,0.175,0.1075736215538847,3,7.0,10.0,0.827605888602368,2.1,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,3,23,186,65.65053763440861,175.09139784946237,0.470703125,2,2,0,0,0.1779825670370617,0.6926691729323309,0.1508897969493997,0.0566371681415929,0.0313809967396367,13,2.4615384615384617,22.0,0.2030000618646976,1.4545454545454546,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,17,19,137,54.75182481751825,906.4452554744526,0.470703125,2,2,0,0,0.7521729856556285,1.0,0.2129195539044798,0.8770685579196218,0.7104418848539789,1,371.0,86.0,1.1633311793096102,4.313953488372093,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,4,23,55,34.85454545454545,222.5090909090909,0.470703125,2,2,0,0,0.4095832802344845,1.0,0.2241447891668757,0.3389830508474576,0.2248736247398157,5,12.0,18.0,0.5298703284685173,3.3333333333333335,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
