condition,n_images,n_cells_total,R_mean,R_std,R_min,R_max,V_mean,V_std
6dyne,5,496,0.20501754543799572,0.10492344014170019,0.07833701619729012,0.34314392418014966,0.16779601768252617,0.11498502016921357
high_shear,5,435,0.23133945640317882,0.13404695189462942,0.08000322837318947,0.4084800261159156,-0.05001055447605831,0.26490927082289645
static,5,401,0.12622619155698203,0.05503851682427292,0.03871972746975342,0.17755459994306094,0.08245725143409936,0.05872367178626493
