image_id,condition,n_cells,mean_angle_deg,R,prefix,V_cue0,V_inferred,V_abs
BSA_6dyn-146,6dyne,95,66.7428313098135,0.1545444653480032,BSA,0.06102324366716656,0.05569626224880895,0.1545444653480032
BSA_BMP9_20dyn-2,high_shear,92,3.198152709069872,0.08000322837318947,BSA,0.07987862841891737,0.07965715717057616,0.08000322837318947
BSA_BMP9_20dyn-8,high_shear,63,61.77798188311688,0.12125815711514258,BSA,0.05734169775362486,0.053325290061878486,0.12125815711514258
BSA_BMP9_6dyn-29,6dyne,88,-37.968477897931905,0.277445081367924,BSA,0.21872364939060698,0.22492520605734376,0.277445081367924
BSA_BMP9_static-23,static,51,56.40974284994021,0.15359326188422023,BSA,0.08497545790076164,0.08015447949630844,0.15359326188422023
BSA_static-111,static,126,25.835255710285313,0.17755459994306094,BSA,0.1598081581237497,0.15681752725261078,0.17755459994306094
BSA_static-115,static,131,54.56621623610118,0.15340440149989915,BSA,0.08893799688755777,0.08422421138771924,0.15340440149989915
EGM2_regular_18-20dyn-06,high_shear,121,33.70265366545468,0.3044917277175626,EGM2,0.2533153230112595,0.2468512570867913,0.3044917277175626
EGM2_regular_18-20dyn-53,high_shear,83,172.04818770545873,0.4084800261159156,EGM2,-0.40455239582672436,-0.40637534161959227,0.4084800261159156
EGM2_regular_18-20dyn-60,high_shear,76,166.777306229655,0.24246414269408387,EGM2,-0.23603602573736887,-0.23793669886285504,0.24246414269408387
EGM2_regular_6dyn-27,6dyne,120,-19.025521058297038,0.07833701619729012,EGM2,0.07405773644992356,0.07495690369959747,0.07833701619729012
EGM2_regular_6dyn-86,6dyne,96,-7.951998728211397,0.34314392418014966,EGM2,0.33984436121485767,0.34137576933499486,0.34314392418014966
EGM2_regular_6dyn-88,6dyne,97,-32.13116621734348,0.17161724009661158,EGM2,0.14533109769007613,0.14862767562213836,0.17161724009661158
EGM2_regular_static-49,static,46,-98.36060251058923,0.03871972746975342,EGM2,-0.005629955034875115,-0.004200231632502915,0.03871972746975342
EGM2_regular_static-50,static,47,-38.68455006701712,0.10785896698797635,EGM2,0.0841945992933028,0.08664544201693138,0.10785896698797635
