cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length
9,2426.0,203.27922061357856,195.09934047815335,720.6504534212696,0.8931220901697691,-0.7968782494930808,83.19896047326904,37.42408471538193
10,1214.0,140.08326112068522,207.9678747940692,1009.5148270181219,0.7289697307730696,0.016461923846800557,49.16464028735008,33.65545445663438
11,3074.0,208.89444430272832,218.4472999349382,332.0920624593364,0.7056887523776747,-0.7087074117038442,74.43345315628638,52.73773701100637
12,4013.0,255.19595949289334,283.34462995265386,31.57687515574383,0.6234156835933002,-1.0665275390088325,82.98229250956713,64.88307315737889
13,3161.0,225.27922061357856,293.4691553305916,238.134767478646,0.8591534941454405,-0.8041391792141149,88.98904483412642,45.53729273799316
14,2791.0,211.62236636408616,292.25188104622,807.3403797921892,0.8567266738297479,-0.7485536639890183,83.0795895892003,42.85001738309088
15,1993.0,182.95331880577405,338.0311088810838,1005.7320622177622,0.8142490181942162,-0.3630569717365514,67.89433404545593,39.413730270884066
16,3306.0,226.69343417595167,337.6996370235935,893.0514216575923,0.8340969965094626,-0.7104623016090109,87.41436425386178,48.21931954667688
17,2810.0,224.40916292848976,383.87402135231315,209.84626334519572,0.8829005151515902,0.039795885663962624,89.28900789826281,41.92655479619452
18,3276.0,219.37972567696687,376.77625152625154,287.04700854700855,0.7394712545732319,-0.8420366831869971,78.87628201587046,53.09857710135038
19,4719.0,261.5218613006979,417.42381860563677,675.8438228438229,0.7301510571993749,-0.5726013473744476,93.8843965933889,64.1498715430804
20,2988.0,213.23759005323592,408.4963186077644,484.84705488621154,0.7868812089166534,-1.3594668712477123,78.83925486580314,48.65205889899083
21,3481.0,235.90663761154806,430.7704682562482,796.0155127836829,0.8607932572775497,-0.7170980022211862,93.44762933605202,47.56061764316477
22,2485.0,196.3086578651014,419.2857142857143,871.0024144869216,0.822894087296487,-1.0547453871882018,74.76965364532883,42.48372776384756
23,2972.0,209.7228714274745,442.05248990578735,294.8707940780619,0.764781622047663,-0.9701927846321068,76.85089157194388,49.51422911164222
24,3546.0,232.36753236814712,454.38606880992666,995.6804850535815,0.5843274344157262,0.5580369035609257,75.65584636414567,61.39608043356824
