cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length
1,4891.0,335.7766952966369,29.591085667552647,297.1750153342875,0.921081742466144,1.141066661917044,132.74359259555857,51.68627494072156
2,1585.0,183.95941546018392,14.036593059936909,348.17917981072554,0.7874253366797378,1.4104556665493913,61.97113895714217,38.19963233098405
3,7235.0,500.48023074035524,19.30186592950933,636.0077401520387,0.9760411047396426,-1.525555108009219,213.88436378428938,46.53828960614148
4,6247.0,328.0071426749364,44.33664158796222,979.0427405154475,0.7829774591484421,-1.0947800405280526,116.23728828347636,72.30541414286697
5,1806.0,237.70458146424488,10.43189368770764,445.74141749723145,0.9732274724614972,-1.475239059649679,105.70943650771736,24.296684901105785
6,10427.0,533.9137802864846,57.5718806943512,430.8115469454301,0.9574222655088092,-1.224464632162657,225.42840289564685,65.0791947992489
7,6537.0,343.9005409571382,38.019886798225485,821.6065473458773,0.3656130803420548,-1.0108115067862324,98.7336056830342,91.8979749168932
8,4251.0,299.6162697096763,22.50882145377558,912.752528816749,0.8649694819548069,-1.4068062563174053,108.65098475319488,54.52372247025243
9,11894.0,645.9137802864844,56.867075836556246,135.93534555237935,0.9727439404942194,1.2272849767079077,270.1494284027336,62.642768965629266
10,5800.0,353.3980156401965,54.25241379310345,241.38431034482758,0.8927398201591785,1.2034118474995779,130.82091275785876,58.944310902890685
11,10056.0,517.6295090390225,83.8739061256961,685.8482498011138,0.9423188061357912,-1.0271017803533364,205.19521603697177,68.68226506006158
12,9308.0,494.1320343559643,73.34164159862483,564.9648689299527,0.9503340288620246,-1.3622547149613162,200.6142767438903,62.437542539087175
13,13356.0,584.8599564173221,99.36103623839473,917.6315513626835,0.93977179952892,1.4767887203911694,231.8137936125906,79.23453955045557
14,3736.0,247.20815280171306,91.56638115631692,757.6062633832977,0.7231845145861778,-1.241115933776052,83.96396786049071,57.990123818460376
15,7625.0,496.06601717798213,105.80026229508196,71.05311475409836,0.9546099662300205,-1.52304266932105,197.07275154834582,58.6998359663419
16,8399.0,375.7056274847714,131.4410048815335,438.7979521371592,0.7011744726486957,1.5283701220462431,124.1363268223356,88.50792647682323
17,8698.0,608.0609665440988,144.14670039089447,100.87606346286502,0.9838074806516687,-1.3002746038116857,281.3513250601436,50.42616481925265
