cell_id,nuc_y,nuc_x,golgi_y,golgi_x,polarity_dx,polarity_dy,polarity_angle_deg,polarity_alignment_deg,polarity_length
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,499.2262295081967,757.1135618479881,503.2507374631268,812.1445427728613,55.030980924873234,4.0245079549301295,4.182690399591124,4.182690399591124,55.17794419723389
25,546.7110285641091,641.4971820161394,541.0953177257525,688.4021739130435,46.90499189690411,-5.6157108383566765,353.1727468954611,6.827253104538897,47.23996690376356
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,661.6573392243496,716.1570119456717,669.0,725.8255528255528,9.668540879881107,7.342660775650415,37.21443043942919,37.21443043942919,12.140648665215846
33,687.5302294197031,579.8335357624832,666.6517509727627,612.5505836575876,32.71704789510443,-20.87847844694045,327.4558993530018,32.544100646998174,38.81128811608697
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,726.3434763886895,695.5108368020669,734.4105263157895,671.4473684210526,-24.06346838101433,8.067049927100015,161.46676055213297,18.533239447867032,25.379673068233185
38,,,,,,,,,
39,780.6663332666533,866.4273854770954,775.6977342945418,875.8635427394439,9.436157262348502,-4.968598972111522,332.23099784509185,27.76900215490815,10.664334935917948
40,874.6666666666666,953.4,834.725,926.4,-27.0,-39.941666666666606,235.94186454930713,55.94186454930713,48.211375588247904
41,821.3209907746746,751.3111335776571,822.000600240096,764.890756302521,13.579622724863952,0.6796094654214357,2.8650496847101397,2.8650496847101397,13.596618049174284
42,833.3032938919092,669.8278861528622,833.9749373433584,677.2882205513785,7.460334398516238,0.6716434514491993,5.1443899704970075,5.1443899704970075,7.490506943028572
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,983.2558640497846,658.1708353279081,1008.1581920903955,686.0451977401129,27.874362412204846,24.902328040610882,41.77688457132678,41.77688457132678,37.377881450520086
49,,,,,,,,,
